Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,2,seulement,only
3,5,demande,request
5,7,mois,month
6,8,frère,brother
7,9,laisser,let
8,10,car,because
9,11,mettre,to put
10,12,aucun,no
11,13,laisse,leash
12,15,ville,city
13,16,chaque,each
14,17,parlé,speak
15,18,arrivé,come
16,19,devrait,should
17,20,bébé,baby
18,21,longtemps,long time
19,23,vont,will
23,28,parle,speak
24,29,compris,understood
25,30,savais,knew
26,31,étaient,were
27,33,voici,here is
28,34,pourrais,could
29,36,donner,give
30,37,type,type
31,38,leurs,their
32,39,donné,given
33,41,corps,body
34,42,endroit,place
35,43,yeux,eyes
36,44,façon,way
37,46,trouve,find
38,49,première,first
39,50,côté,side
40,51,pouvoir,power
41,53,sois,be
42,55,matin,morning
43,58,point,point
45,60,suite,after
46,61,pardon,sorry
47,62,venez,come
48,63,devant,in front of
50,65,demandé,request
51,66,chambre,bedroom
52,67,mis,placed
53,68,belle,beautiful
54,69,droit,law
55,70,aimerais,would like to
56,71,mari,husband
57,72,cause,cause
58,73,enfin,finally
59,74,espère,hope
60,75,eau,water
61,76,attendez,Wait
62,77,parti,left
63,78,nouvelle,new
64,79,arrêter,Stop
65,81,terre,Earth
67,88,gros,large
69,90,aura,will have
70,91,filles,girls
71,92,jouer,to play
72,93,bureau,office
